,cik,company
81,16357,CALIFORNIA MICROWAVE INC
82,16573,CAMBRIDGE ELECTRIC LIGHT CO
83,16875,CANADIAN PACIFIC RAILWAY LTD/CN
84,16906,CANAL ELECTRIC CO
85,17109,CAPITAL CITIES ABC INC /NY/
86,17206,PROVIDIAN CORP
87,17385,CAPITOL TRANSAMERICA CORP
88,17797,"DUKE ENERGY PROGRESS, LLC."
89,17927,CARROLS CORP
90,18000,CARTER WALLACE INC /DE/
91,18172,A. M. CASTLE & CO.
92,18366,CBS INC
93,18508,FOREMOST CORP OF AMERICA
94,18654,AMEREN ILLINOIS CO
95,18672,CLECO POWER LLC
96,18783,CENTRAL STEEL & WIRE CO
97,18792,CENTRAL TELEPHONE CO
98,18827,EKCO GROUP INC /DE/
99,19489,CHASE MANHATTAN CORP
100,19704,CHERRY CORP
101,19722,VERIZON MARYLAND INC
102,19725,VERIZON VIRGINIA INC
103,20041,CHOCK FULL O NUTS CORP
104,20067,CHRIS CRAFT INDUSTRIES INC
105,20104,CHRISTIANA COMPANIES INC
106,20164,CHRYSLER FINANCIAL CORP
107,20290,"DUKE ENERGY OHIO, INC."
108,20405,CITICORP
109,20469,UNITED MAGAZINE CO
110,20762,PREMCOR REFINING GROUP INC
111,20947,CLEVELAND ELECTRIC ILLUMINATING CO
112,21157,CMI CORP
113,21212,COACHMEN INDUSTRIES INC
114,21267,EL PASO CGP CO
115,21344,COCA COLA CO
116,21627,COLEMAN CO INC
117,21665,COLGATE PALMOLIVE CO
118,22099,COLUMBIA ENERGY GROUP
119,22198,COLUMBUS SOUTHERN POWER CO /OH/
120,22366,COMMERCE CLEARING HOUSE INC
121,22606,COMMONWEALTH EDISON CO
122,22620,COMMONWEALTH GAS CO
123,22698,COMSAT CORP
124,22764,TRANSITIONAL HOSPITALS CORP
125,22767,TEXAS NEW MEXICO POWER CO
126,22896,COMPUSERVE CORP
127,23426,CONNECTICUT LIGHT & POWER CO
128,23533,CALMAT CO
129,23738,CONSOLIDATED NATURAL GAS CO/VA
130,23910,CONSUMERS WATER CO
131,24058,CONTINENTAL BANK CORP
132,24186,CONTEL OF CALIFORNIA INC
133,24654,CORDIS CORP
134,25095,TRUE VALUE CO
135,25354,CPI CORP
136,25506,CRAY RESEARCH INC
137,25598,ONEMAIN FINANCE CORP
138,25793,CROSS A T CO
139,25885,CROWN CENTRAL PETROLEUM CORP /MD/
140,25941,CRSS INC
141,26093,CULBRO CORP
142,26324,CURTISS WRIGHT CORP
143,26821,DANIEL INDUSTRIES INC
144,26938,DART GROUP CORP
145,27430,DAYTON POWER & LIGHT CO
146,27500,DEAN FOODS CO
147,27673,DEERE JOHN CAPITAL CORP
148,27879,DELMARVA POWER & LIGHT CO /DE/
149,28209,DEPOSIT GUARANTY CORP
150,28385,DTE ELECTRIC CO
151,28582,DEXTER CORP
152,28871,DI GIORGIO CORP
153,28887,DIGITAL EQUIPMENT CORP
154,29302,WEATHERFORD ENTERRA INC
155,29590,UNITED DOMINION INDUSTRIES LIMITED
156,29669,RR DONNELLEY & SONS CO
157,29917,DOW CORNING CORP
158,30067,DRAVO CORP
159,30099,DRESSER INDUSTRIES INC /DE/
160,30117,PRATT HOTEL CORP /DE/
161,30163,DREYFUS CORP
162,30371,"DUKE ENERGY CAROLINAS, LLC"
163,30554,DUPONT E I DE NEMOURS & CO
164,30841,ACTERNA CORP
165,30875,E SYSTEMS INC
166,30908,EAGLE FOOD CENTERS INC
167,30927,EAGLE PICHER INC
168,30966,ERLY INDUSTRIES INC
169,31224,EASTERN UTILITIES ASSOCIATES
170,31348,ECHLIN INC
171,31575,EDISON BROTHERS STORES INC
172,31791,PERKINELMER INC
173,31986,EL PASO NATURAL GAS CO
174,32020,ELDER BEERMAN STORES CORP
175,32272,THREE FIVE SYSTEMS INC
176,32377,ELIZABETHTOWN GAS CO
177,32379,ELIZABETHTOWN WATER CO /NJ/
178,32880,ENERGY CORP OF AMERICA
179,33015,TXU GAS CO
180,33073,VISKASE COMPANIES INC
181,33416,ERIE FAMILY LIFE INSURANCE CO
182,33565,ESSEX GROUP INC
183,33798,GROSSMANS INC
184,33939,FORUM GROUP INC
185,34115,CLAIRES STORES INC
186,34257,FAIRCHILD INDUSTRIES INC /DE/
187,34563,FARMER BROTHERS CO
188,34616,FARMLAND INDUSTRIES INC
189,34768,FAYS INC
190,34891,FEDERAL PAPER BOARD CO INC
191,35469,FIELDCREST CANNON INC
192,35590,ORION PICTURES CORP
193,36094,MAGNA GROUP INC
194,36161,FIRST CHICAGO CORP
195,36326,FIRST FINANCIAL MANAGEMENT CORP
196,36340,PREMIER FINANCIAL SERVICES INC
197,36510,ALLFIRST FINANCIAL INC
198,36522,FIRST MICHIGAN BANK CORP
199,36703,FIRST OF AMERICA BANK CORP /MI/
200,36725,FIRST NATIONAL OF NEBRASKA INC
201,36840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY
202,36995,WACHOVIA CORP NEW
203,37049,FIRST WEST VIRGINIA BANCORP INC
204,37093,FIRSTBANK OF ILLINOIS CO
205,37180,RINI REGO SUPERMARKETS INC
206,37481,FLIGHTSAFETY INTERNATIONAL INC
207,37637,"DUKE ENERGY FLORIDA, LLC."
208,37664,SPRINT FLORIDA INC
209,37743,FLUKE CORP
210,37755,FURON CO
211,37912,DELHAIZE AMERICA INC
212,37931,TRUE NORTH COMMUNICATIONS INC
213,37941,FOOTHILL GROUP INC
214,38009,FORD MOTOR CREDIT CO LLC
215,38079,SABINE OIL & GAS CORP
216,38195,FORT HOWARD CORP
217,38475,FOURTH FINANCIAL CORP
218,38792,FRANKS NURSERY & CRAFTS INC
219,38851,THORN APPLE VALLEY INC
220,38984,"REAL INDUSTRY, INC."
221,39368,FULLER H B CO
222,39394,BANK SOUTH CORP
223,39677,"AV HOMES, INC."
224,40454,BOATMENS BANCSHARES INC /MO
225,40461,GENERAL BINDING CORP
226,40493,HARCOURT GENERAL INC
227,40518,GENERAL DATACOMM INDUSTRIES INC
228,40554,GENERAL ELECTRIC CAPITAL CORP
229,40638,GENERAL HOST CORP
230,40656,GENERAL SEMICONDUCTOR INC
231,40864,VERIZON CALIFORNIA INC
232,40865,VERIZON FLORIDA INC
233,40867,VERIZON NORTH INC
234,40874,GTE SOUTHWEST INC
235,40878,VERIZON SOUTH INC
236,40972,GENRAD INC
237,41077,GEORGIA PACIFIC CORP
238,41130,GERBER PRODUCTS CO
239,41147,GERIATRIC & MEDICAL COMPANIES INC
240,41304,ROYAL OAK MINES INC
241,42682,GORMAN RUPP CO
242,42791,GOULDS PUMPS INC
243,43287,GREAT AMERICAN MANAGEMENT & INVESTMENT INC
244,43340,INVESTORS INSURANCE GROUP INC
245,43362,GREAT LAKES CHEMICAL CORP
246,43960,GREYHOUND FINANCIAL CORP
247,44171,GROW GROUP INC
248,44358,GUARANTY NATIONAL CORP
249,44471,GUILFORD MILLS INC
250,44482,PARAMOUNT COMMUNICATIONS INC /DE/
251,44570,"ENTERGY GULF STATES LOUISIANA, LLC"
252,44801,HADSON CORP
253,45370,HANNA M A CO/DE
254,45379,HANNAFORD BROTHERS CO
255,45599,HARLAND JOHN H CO
256,45674,CIRCLE INTERNATIONAL GROUP INC /DE/
257,45876,HARSCO CORP
258,45919,HARTE HANKS INC
259,45947,TALCOTT RESOLUTION LIFE INSURANCE CO
260,46012,HARVARD INDUSTRIES INC
261,46129,ALLIED MOTION TECHNOLOGIES INC
262,46207,HAWAIIAN ELECTRIC CO INC
263,46216,VERIZON HAWAII INC
264,46517,HECHINGER CO
265,46601,HEILIG MEYERS CO
266,48174,HOME BENEFICIAL CORP
267,48638,HOUGHTON MIFFLIN CO
268,48681,HOUSEHOLD FINANCE CORP
269,48732,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC
270,49146,HUNT CORP
271,49423,AQUARION CO
272,49588,SOUTHWESTERN LIFE CORP
273,49648,IDAHO POWER CO
274,49789,ILLINOIS BELL TELEPHONE CO
275,49792,ILLINOIS CENTRAL RAILROAD CO
276,49816,ILLINOIS POWER CO
277,49899,IMPERIAL BANCORP
278,49938,IMPERIAL OIL LTD
279,50178,INDIANA BELL TELEPHONE CO INC
280,50183,INDIANA GAS CO INC
281,50548,ISPAT INLAND INC
282,50916,DAIN RAUSCHER CORP
283,50982,INTERCONTINENTAL LIFE CORP
284,51124,AMERICAN BANKNOTE CORP
285,51200,GREAT DANE HOLDINGS INC
286,51207,INTERNATIONAL DAIRY QUEEN INC
287,51303,NAVISTAR FINANCIAL CORP
288,51396,MALLINCKRODT INC /MO
289,51720,INTERSTATE POWER CO
290,52491,IOWA ILLINOIS GAS & ELECTRIC CO
291,52741,IIC INDUSTRIES INC
292,52825,ITT FINANCIAL CORP
293,52988,JACOBS ENGINEERING GROUP INC /DE/
294,53316,JEFFERSON BANCORP INC
295,53347,JEFFERSON PILOT CORP
296,53456,JERSEY CENTRAL POWER & LIGHT CO
297,54003,JORGENSEN EARLE M CO /DE/
298,54473,KANSAS CITY LIFE INSURANCE CO
299,54476,"EVERGY METRO, INC."
300,54496,KANSAS GAS & ELECTRIC CO /KS/
301,54507,"EVERGY KANSAS CENTRAL, INC."
302,54681,KATY INDUSTRIES INC
303,54727,SUNAMERICA INC
304,55362,INVESTORS HERITAGE CAPITAL CORP
305,55373,KENTUCKY POWER CO
306,55387,KENTUCKY UTILITIES CO
307,55604,KEYSTONE CONSOLIDATED INDUSTRIES INC
308,55642,KEYSTONE INTERNATIONAL INC
309,55785,KIMBERLY CLARK CORP
310,56868,PRIMEENERGY CORP
311,56955,KUHLMAN CORP
312,57055,KV PHARMACEUTICAL CO /DE/
313,57183,SPIRE MISSOURI INC
314,57187,LACLEDE STEEL CO /DE/
315,57528,"SNYDER'S-LANCE, INC."
316,57725,LANNETT CO INC
317,58091,LAWTER INTERNATIONAL INC
318,59198,AEROQUIP-VICKERS INC
319,59479,LILLY INDUSTRIES INC
320,59498,LIN BROADCASTING CORP
321,59880,LITTON INDUSTRIES INC
322,60041,LOCTITE CORP
323,60150,LOMAS FINANCIAL CORP
324,60195,LONE STAR INDUSTRIES INC
325,60357,LORAL CORP /NY/
326,60512,LOUISIANA LAND & EXPLORATION CO
327,60549,LOUISVILLE GAS & ELECTRIC CO /KY/
328,60653,COLONIAL GAS CO
329,60667,LOWES COMPANIES INC
330,60860,LUKENS INC
331,61004,LYNCH CORP
332,61339,MADISON GAS & ELECTRIC CO
333,61425,MAGMA COPPER CO
334,61617,MAINE YANKEE ATOMIC POWER CO
335,62142,MAPCO INC
336,62391,MARION MERRELL DOW INC
337,62418,MARK IV INDUSTRIES INC
338,62765,MARSHALL INDUSTRIES
339,63073,MASSACHUSETTS ELECTRIC CO
340,63118,VARITY CORP
341,63506,MAYFLOWER GROUP INC /IN/
342,63814,MAXXAM INC
343,63908,MCDONALDS CORP
344,63917,MCDONNELL DOUGLAS CORP
345,64079,MCI COMMUNICATIONS CORP
346,64674,MEDUSA CORP
347,64923,MERCANTILE STORES CO INC
348,65195,MESTEK INC
349,65350,METROPOLITAN EDISON CO
350,65358,UNITED CAPITAL CORP /DE/
351,65384,METROPOLITAN MORTGAGE & SECURITIES CO INC
352,65622,MICHIGAN BELL TELEPHONE CO
353,65632,MICHIGAN CONSOLIDATED GAS CO /MI/
354,65637,MICHIGAN FINANCIAL CORP
355,65660,MICHIGAN NATIONAL CORP
356,65695,ANR PIPELINE CO
357,65771,MA COM INC
358,66029,MIDLAND ENTERPRISES INC /DE/
359,66382,HERMAN MILLER INC
360,67727,MONTANA POWER CO /MT/
361,68100,MORGAN J P & CO INC
362,68366,CORDANT TECHNOLOGIES INC
363,68412,MOSINEE PAPER CORP
364,68589,QUESTAR GAS CO
365,69659,NARRAGANSETT ELECTRIC CO
366,69671,NASH FINCH CO
367,69834,NATIONAL BANCSHARES CORP OF TEXAS
368,69960,NCH CORP
369,69968,NATIONAL CITY BANCORPORATION
370,69999,NATIONAL COMPUTER SYSTEMS INC
371,70502,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/
372,70530,NATIONAL SEMICONDUCTOR CORP
373,70538,NATIONAL SERVICE INDUSTRIES INC
374,70866,NCR CORP
375,71023,NELSON THOMAS INC
376,71222,COMMONWEALTH ELECTRIC CO
377,71297,NEW ENGLAND ELECTRIC SYSTEM
378,71304,COMMONWEALTH ENERGY SYSTEM
379,71337,NEW ENGLAND POWER CO
380,71344,VERIZON NEW ENGLAND INC
381,71428,VERIZON NEW JERSEY INC
382,71675,NEW YORK STATE ELECTRIC & GAS CORP
383,71689,VERIZON NEW YORK INC
384,71932,NIAGARA MOHAWK POWER CORP /NY/
385,72423,NORTEK HOLDINGS INC
386,72596,NORTH CAROLINA NATURAL GAS CORP
387,72843,NORTHERN INDIANA PUBLIC SERVICE CO
388,72909,NORTHERN STATES POWER CO /WI/
389,72911,NORTEL NETWORKS CORP
390,73076,NORTHWESTERN MUTUAL LIFE INSURANCE CO
391,73088,NORTHWESTERN CORP
392,73568,OAK INDUSTRIES INC
393,73864,OEA INC /DE/
394,73902,COVANTA ENERGY CORP
395,73945,OHIO BELL TELEPHONE CO
396,73986,OHIO POWER CO
397,74145,OKLAHOMA GAS & ELECTRIC CO
398,74347,RE CAPITAL CORP /DE/
399,74386,OLSTEN CORP
400,74697,OPTICAL COATING LABORATORY INC
401,74783,ACCEPTANCE INSURANCE COMPANIES INC
402,74856,OREGON METALLURGICAL CORP
403,74928,ORIOLE HOMES CORP
404,74931,ORION CAPITAL CORP
405,75042,OSHKOSH B GOSH INC
406,75072,OSULLIVAN CORP
407,75149,OUTBOARD MARINE CORP
408,75488,PACIFIC GAS & ELECTRIC CO
409,75491,GAS TRANSMISSION NORTHWEST CORP
410,75527,PACIFIC ENTERPRISES INC
411,75608,PACIFIC SCIENTIFIC CO
412,75641,PACIFIC BELL
413,75754,PAINE WEBBER GROUP INC
414,76063,"PANHANDLE EASTERN PIPE LINE COMPANY, LP"
415,76267,PARK ELECTROCHEMICAL CORP
416,76282,PARK OHIO HOLDINGS CORP
417,76321,PARKER DRILLING CO /DE/
418,76744,PAYLESS CASHWAYS INC
419,76888,PEC ISRAEL ECONOMIC CORP
420,77159,PENN VIRGINIA CORP
421,77193,PENNEY J C FUNDING CORP
422,77227,PENNSYLVANIA ELECTRIC CO
423,77231,PENNSYLVANIA ENTERPRISES INC
424,77242,PG ENERGY INC
425,77278,PENNSYLVANIA POWER CO
426,77320,PENNZENERGY CO
427,77371,PEOPLES BANCSHARES INC
428,77388,PEOPLES GAS LIGHT & COKE CO
429,77449,PEP BOYS MANNY MOE & JACK
430,77628,PERRY DRUG STORES INC
431,77943,PETROLITE CORP
432,78384,MAC FRUGALS BARGAINS CLOSE OUTS INC
433,78666,PINKERTONS INC
434,78716,PIONEER HI BRED INTERNATIONAL INC
435,78853,PITT DES MOINES INC
436,78890,BRINKS CO
437,79209,PLY GEM INDUSTRIES INC
438,79259,VALUE PROPERTY TRUST
439,79636,PORTLAND GENERAL CORP /OR
440,79731,POTOMAC EDISON CO
441,79732,POTOMAC ELECTRIC POWER CO
442,79920,PRATT & LAMBERT UNITED INC
443,80051,PREMIER INDUSTRIAL CORP
444,80134,PRESIDIO OIL CO
445,80285,COMPUTERVISION CORP /DE/
446,80812,PROVIDENCE GAS CO
447,81018,PUBLIC SERVICE CO OF COLORADO
448,81020,"DUKE ENERGY INDIANA, LLC"
449,81023,PUBLIC SERVICE CO OF NEW MEXICO
450,81025,PUBLIC SERVICE CO OF NORTH CAROLINA INC
451,81033,PUBLIC SERVICE ELECTRIC & GAS CO
452,81061,PUBLIX SUPER MARKETS INC
453,81076,PUERTO RICAN CEMENT CO INC
454,81199,PURITAN BENNETT CORP
455,81362,QUAKER CHEMICAL CORP
456,81381,QUAKER STATE CORP
457,81870,RALSTON PURINA CO
458,81893,RAMAPO FINANCIAL CORP
459,82231,RAYMOND CORP
460,82523,RECOGNITION INTERNATIONAL INC
461,82811,REGAL BELOIT CORP
462,83053,RELIANCE INSURANCE CO
463,83226,REPUBLIC GROUP INC
464,83394,GRIFFIN GAMING & ENTERTAINMENT INC
465,83496,REVCO D S INC
466,83679,RHODES INC
467,84129,RITE AID CORP
468,84244,ROLLINS TRUCK LEASING CORP
469,84278,ROANOKE ELECTRIC STEEL CORP
470,84557,ROCHESTER GAS & ELECTRIC CORP
471,84613,ROCKLAND ELECTRIC CO
472,84801,ROHR INC
473,85149,ROSES STORES INC
474,85627,RUBBERMAID INC
475,85973,RYKOFF SEXTON INC
476,86115,SAFEGUARD SCIENTIFICS INC
477,86251,ST JOSEPH LIGHT & POWER CO
478,86264,CARBON ENERGY CORP
479,86346,SALANT CORP
480,86772,SANTA FE SNYDER CORP
481,86940,SAVANNAH ELECTRIC & POWER CO
482,86941,SAVANNAH FOODS & INDUSTRIES INC
483,87266,HART HOLDING CO INC
484,87347,SCHLUMBERGER LIMITED/NV
485,87565,SCHULMAN A INC
486,87777,SCIENTIFIC ATLANTA INC
487,87949,SCOTT PAPER CO
488,88034,SCRIPPS HOWARD BROADCASTING CO
489,88095,SEA CONTAINERS LTD /NY/
490,88121,SEABOARD CORP /DE/
491,88128,CSX TRANSPORTATION INC
492,88205,SPX CORP
493,88255,SEARS ROEBUCK ACCEPTANCE CORP
494,88974,SENSORMATIC ELECTRONICS CORP
495,89107,SERVICE MERCHANDISE CO INC
496,89415,SHARED MEDICAL SYSTEMS CORP
497,89498,SHAW INDUSTRIES INC
498,89629,SHELL OIL CO
499,89800,SHERWIN WILLIAMS CO
500,89902,SHONEYS INC
501,89966,SHOWBOAT INC
502,90144,SIERRA PACIFIC POWER CO
503,90185,SIGMA ALDRICH CORP
504,90588,SIMPSON INDUSTRIES INC
505,91142,SMITH A O CORP
506,91419,J M SMUCKER CO
507,91649,4FRONT TECHNOLOGIES INC
508,91693,COINMACH CORP
509,91882,"DOMINION ENERGY SOUTH CAROLINA, INC."
510,92050,SOUTHEASTERN PUBLIC SERVICE CO
511,92088,BELLSOUTH TELECOMMUNICATIONS INC
512,92103,SOUTHERN CALIFORNIA EDISON CO
513,92108,SOUTHERN CALIFORNIA GAS CO
514,92116,GOLDEN STATE WATER CO
515,92195,SOUTHERN INDIANA GAS & ELECTRIC CO
516,92232,"SOUTHERN NATURAL GAS COMPANY, L.L.C."
517,92236,SONAT INC
518,92244,SOUTHERN NEW ENGLAND TELEPHONE CO
519,92259,SOUTHERN PACIFIC TRANSPORTATION CO
520,92275,NORFOLK SOUTHERN RAILWAY CO /VA/
521,92342,LAURENTIAN CAPITAL CORP/DE/
522,92344,7 ELEVEN INC
523,92440,SOUTHWEST NATIONAL CORP
524,92476,SOUTHWESTERN BELL TELEPHONE CO
525,92521,SOUTHWESTERN PUBLIC SERVICE CO
526,93397,AMOCO CORP
527,93448,STANDARD PRODUCTS CO
528,93456,STANDARD REGISTER CO
529,93676,STARRETT L S CO
530,93736,NAUTICA ENTERPRISES INC
531,94567,STOKELY VAN CAMP INC
532,94679,STORER COMMUNICATIONS INC
533,94855,STRAWBRIDGE & CLOTHIER
534,95395,SUNDSTRAND CORP /DE/
535,95504,SUPER FOOD SERVICES INC
536,95626,SUNBASE ASIA INC
537,96238,TALLEY INDUSTRIES INC
538,96271,TAMPA ELECTRIC CO
539,96277,TAMBRANDS INC
540,96287,BOMBAY COMPANY INC
541,96289,RADIOSHACK CORP
542,96608,CONTINUUM CO INC
543,96638,ADVANTA CORP
544,96669,TECH SYM CORP
545,96763,TECHNITROL INC
546,96864,TEJAS GAS CORP
547,96903,TCI COMMUNICATIONS INC
548,96919,TPI ENTERPRISES INC
549,96977,PACIFIC TELECOM INC
550,97142,"TENNESSEE GAS PIPELINE COMPANY, L.L.C."
551,97196,SOFTNET SYSTEMS INC
552,97432,TEXAS EASTERN TRANSMISSION LP
553,97452,TEXAS GAS TRANSMISSION LLC
554,97931,THOMASTON MILLS INC
555,98559,TOKHEIM CORP
556,99193,TRANSAMERICA FINANCE CORP
557,99231,TRANSCO ENERGY CO
558,99250,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"
559,99359,TRANSTECHNOLOGY CORP
560,99974,TJ INTERNATIONAL INC
561,100122,TUCSON ELECTRIC POWER CO
562,100240,TURNER BROADCASTING SYSTEM INC
563,100307,MARK TWAIN BANCSHARES INC/MO
564,100548,UGI UTILITIES INC
565,100712,PRODUCTION OPERATORS CORP
566,100826,UNION ELECTRIC CO
567,100858,UNION LIGHT HEAT & POWER CO
568,100880,UNION OIL CO OF CALIFORNIA
569,100893,UNION PLANTERS CORP
570,100923,UNION TANK CAR CO
571,101001,"UNITED AIR LINES, INC."
572,101105,UNITED CITIES GAS CO
573,101116,UNITED COMPONENTS INC
574,101271,UNITED INDUSTRIAL CORP /DE/
575,101462,UNITED REFINING CO
576,101640,U S HOME CORP /DE/
577,101771,UNITED STATES SHOE CORP
578,101788,UNITED STATES SURGICAL CORP
579,101829,RAYTHEON TECHNOLOGIES CORP
580,101839,UNITED TELEPHONE CO OF OHIO
581,101841,UNITED TELEPHONE CO OF PENNSYLVANIA
582,101909,UNITOG CO
583,101911,UNITRODE CORP
584,101929,UNIVAR CORP
585,102420,USLIFE CORP
586,103071,VARLEN CORP
587,103379,V F CORP
588,103392,CONTINENTAL CAN CO INC /DE/
589,103466,VICTORIA BANKSHARES INC
590,103872,"VOLT INFORMATION SCIENCES, INC."
591,104030,WACKENHUT CORP
592,104174,WALBRO CORP
593,104348,WALLACE COMPUTER SERVICES INC
594,104519,WANG LABORATORIES INC
595,104669,WARNER LAMBERT CO
596,104819,WASHINGTON GAS LIGHT CO
597,104867,WASHINGTON NATIONAL CORP
598,104880,WASHINGTON NATURAL GAS CO
599,104894,WASHINGTON REAL ESTATE INVESTMENT TRUST
600,105096,WAXMAN INDUSTRIES INC
601,105132,WD 40 CO
602,105668,WENDYS INTERNATIONAL INC
603,105839,WEST PENN POWER CO
604,106135,WESTERN PROPERTIES TRUST
605,106170,WESTERN MASSACHUSETTS ELECTRIC CO
606,106413,CBS CORP
607,106455,WESTMORELAND COAL CO
608,106752,ENVIROSOURCE INC
609,106945,WHITTAKER CORP
610,107203,REXEL INC
611,107681,WINN DIXIE STORES INC
612,107815,WISCONSIN ELECTRIC POWER CO
613,107819,WISCONSIN GAS LLC
614,107833,WISCONSIN PUBLIC SERVICE CORP
615,107844,WISCONSIN BELL INC
616,107889,WITCO CORP
617,108516,WORTHINGTON INDUSTRIES INC
618,108601,WRIGLEY WM JR CO
619,108683,WYLE ELECTRONICS
620,108703,WYMAN GORDON CO
621,108721,WYNNS INTERNATIONAL INC
622,108976,YORK RESEARCH CORP
623,109261,ZENITH NATIONAL INSURANCE CORP
624,109265,ZENITH ELECTRONICS CORP
625,109284,ZERO CORP
626,109312,ZIEGLER COMPANIES INC
627,109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/"
628,110019,NORTHWEST PIPELINE LLC
629,110101,NORTH SHORE GAS CO /IL/
630,110104,NORTHERN ILLINOIS GAS CO /IL/ /NEW/
631,111001,DEKALB ENERGY CO
632,200155,"COLORADO INTERSTATE GAS COMPANY, L.L.C."
633,200245,CITIGROUP GLOBAL MARKETS HOLDINGS INC
634,201493,COLTEC INDUSTRIES INC
635,201499,COMMERCIAL CREDIT CO
636,202356,KYSOR INDUSTRIAL CORP /MI/
637,202375,LAZARE KAPLAN INTERNATIONAL INC
638,202584,"SYSTEM ENERGY RESOURCES, INC"
639,202763,SYNCOR INTERNATIONAL CORP /DE/
640,202930,PRINTPACK INC
641,202932,PRO FAC COOPERATIVE INC
642,205219,BRC HOLDINGS INC
643,205402,GRAYBAR ELECTRIC CO INC
644,215619,DAUPHIN DEPOSIT CORP
645,216228,ITT CORP
646,216729,TODAYS BANCORP INC
647,216870,MAINSTREET BANKGROUP INC
648,217028,RHONE POULENC RORER INC
649,217591,XTRA CORP /DE/
650,225300,EQUITABLE OF IOWA COMPANIES
651,225569,AMRESCO INC
652,225615,MCDERMOTT INC
653,225966,UNITED GROCERS INC /OR/
654,230211,FEDERAL EXPRESS CORP
655,230602,TRIANGLE PACIFIC CORP
656,275177,CAROLINA TELEPHONE & TELEGRAPH CO
657,275605,COMCAST JOIN HOLDINGS INC
658,276189,FAIRFIELD COMMUNITIES INC
659,276327,MIDCOAST ENERGY RESOURCES INC
660,276380,SEIBELS BRUCE GROUP INC
661,276477,HILLHAVEN CORP
662,276478,GATX RAIL CORP
663,276780,COLOR TILE INC
664,276889,QUANEX CORP
665,276999,MOORE BENJAMIN & CO
666,277025,ANDREWS GROUP INC /DE/
